date,cefalea OR dolor de cabeza-count,hipertensión -count,enfermedades de base-count,enfermedades cardiovascular...-count,insuficiencia renal-count,cáncer -count,VIH-count,tuberculosis -count,EPOC OR enfermedad pulmonar...-count,asma-count,insuficiencia cardíaca -count,arritmias cardíacas-count,enfermedad cerebrovascular-count,accidente cerebrovascular O...-count,síndrome de down-count,fibrosis-count,artritis-count,vasculitis-count,cefalea OR dolor de cabeza-total_count,hipertensión -total_count,enfermedades de base-total_count,enfermedades cardiovascular...-total_count,insuficiencia renal-total_count,cáncer -total_count,VIH-total_count,tuberculosis -total_count,EPOC OR enfermedad pulmonar...-total_count,asma-total_count,insuficiencia cardíaca -total_count,arritmias cardíacas-total_count,enfermedad cerebrovascular-total_count,accidente cerebrovascular O...-total_count,síndrome de down-total_count,fibrosis-total_count,artritis-total_count,vasculitis-total_count,cefalea OR dolor de cabeza-ratio,hipertensión -ratio,enfermedades de base-ratio,enfermedades cardiovascular...-ratio,insuficiencia renal-ratio,cáncer -ratio,VIH-ratio,tuberculosis -ratio,EPOC OR enfermedad pulmonar...-ratio,asma-ratio,insuficiencia cardíaca -ratio,arritmias cardíacas-ratio,enfermedad cerebrovascular-ratio,accidente cerebrovascular O...-ratio,síndrome de down-ratio,fibrosis-ratio,artritis-ratio,vasculitis-ratio
"2021-01-11","3146","9","3153","76","6","29","5","4","205","2","8","0","198","68","3196","2","2","0","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","3970","0.7924433249370277","0.0022670025188916876","0.794206549118388","0.019143576826196475","0.0015113350125944584","0.007304785894206549","0.0012594458438287153","0.0010075566750629723","0.05163727959697733","0.0005037783375314861","0.0020151133501259445","0","0.04987405541561713","0.01712846347607053","0.8050377833753148","0.0005037783375314861","0.0005037783375314861","0"
"2021-01-12","3981","5","3988","91","0","49","10","4","245","0","3","0","230","60","4025","0","2","0","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","4836","0.8232009925558312","0.0010339123242349049","0.8246484698097601","0.01881720430107527","0","0.010132340777502068","0.0020678246484698098","0.0008271298593879239","0.05066170388751034","0","0.0006203473945409429","0","0.04755996691480562","0.01240694789081886","0.8322994210090985","0","0.00041356492969396195","0"
"2021-01-13","4088","17","4099","115","8","15","7","4","280","3","7","3","271","41","4139","0","1","0","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","4979","0.8210484032938341","0.003414340228961639","0.8232576822655152","0.023097007431211087","0.0016067483430407712","0.003012653143201446","0.0014059048001606748","0.0008033741715203856","0.056236192006426995","0.0006025306286402892","0.0014059048001606748","0.0006025306286402892","0.054428600120506127","0.008234585258083953","0.831291423980719","0","0.0002008435428800964","0"
"2021-01-14","3901","15","3907","100","7","29","7","3","237","3","15","1","224","46","3944","1","2","0","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","4915","0.7936927772126144","0.003051881993896236","0.794913530010173","0.02034587995930824","0.0014242115971515768","0.00590030518819939","0.0014242115971515768","0.0006103763987792472","0.048219735503560526","0.0006103763987792472","0.003051881993896236","0.0002034587995930824","0.045574771108850456","0.009359104781281791","0.802441505595117","0.0002034587995930824","0.0004069175991861648","0"
"2021-01-15","3711","4","3719","78","5","25","10","4","227","4","7","2","216","65","3773","2","4","0","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","4545","0.8165016501650165","0.0008800880088008801","0.8182618261826182","0.017161716171617162","0.0011001100110011","0.005500550055005501","0.0022002200220022","0.0008800880088008801","0.049944994499449946","0.0008800880088008801","0.0015401540154015402","0.00044004400440044003","0.047524752475247525","0.014301430143014302","0.8301430143014301","0.00044004400440044003","0.0008800880088008801","0"
"2021-01-16","2577","3","2580","37","5","13","3","3","159","3","4","1","146","49","2591","0","4","0","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","3074","0.8383214053350683","0.0009759271307742355","0.8392973324658426","0.012036434612882238","0.0016265452179570592","0.004229017566688354","0.0009759271307742355","0.0009759271307742355","0.05172413793103448","0.0009759271307742355","0.0013012361743656475","0.00032530904359141186","0.04749512036434613","0.01594014313597918","0.842875731945348","0","0.0013012361743656475","0"
"2021-01-17","2430","3","2432","40","0","15","6","0","116","7","0","2","109","48","2450","0","2","0","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","2953","0.8228919742634608","0.001015916017609211","0.8235692516085337","0.013545546901456146","0","0.005079580088046055","0.002031832035218422","0","0.039282086014222825","0.0023704707077548256","0","0.0006772773450728074","0.036911615306468","0.016254656281747375","0.829664747714189","0","0.0006772773450728074","0"
"2021-01-18","3672","14","3672","89","8","48","17","2","216","6","8","5","204","53","3705","0","0","0","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","4409","0.8328419142662735","0.0031753232025402587","0.8328419142662735","0.020185983216148787","0.0018144704014515763","0.010886822408709458","0.0038557496030845995","0.0004536176003628941","0.04899070083919256","0.0013608528010886822","0.0018144704014515763","0.0011340440009072353","0.0462689952370152","0.012020866409616693","0.8403266046722613","0","0","0"
"2021-01-19","3939","15","3947","98","15","38","11","2","202","3","13","1","190","101","3993","0","0","0","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","4803","0.8201124297314178","0.003123048094940662","0.8217780553820528","0.02040391422027899","0.003123048094940662","0.007911721840516344","0.002290235269623152","0.00041640641265875496","0.04205704767853425","0.0006246096189881324","0.0027066416822819073","0.00020820320632937748","0.03955860920258172","0.021028523839267125","0.8313554028732042","0","0","0"
"2021-01-20","4122","4","4132","72","14","32","9","0","199","1","10","3","185","69","4162","3","1","0","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","4937","0.8349199918979137","0.0008102086287218959","0.8369455134697185","0.014583755316994126","0.0028357302005266355","0.006481669029775167","0.0018229694146242657","0","0.04030787927891432","0.00020255215718047398","0.0020255215718047396","0.0006076564715414219","0.03747214907838768","0.013976098845452704","0.8430220781851326","0.0006076564715414219","0.00020255215718047398","0"
"2021-01-21","4161","2","4169","118","7","48","4","1","247","2","6","4","222","89","4196","1","4","0","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","5007","0.8310365488316357","0.0003994407829039345","0.8326343119632514","0.023567006191332136","0.0013980427401637707","0.009586578789694428","0.000798881565807869","0.00019972039145196724","0.04933093668863591","0.0003994407829039345","0.0011983223487118035","0.000798881565807869","0.044337926902336726","0.017775114839225083","0.8380267625324546","0.00019972039145196724","0.000798881565807869","0"
"2021-01-22","3758","6","3760","95","14","36","10","6","243","5","13","3","216","74","3792","8","3","0","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","4493","0.8364121967505008","0.0013354106387714222","0.8368573336300913","0.021144001780547518","0.0031159581571333183","0.008012463832628533","0.00222568439795237","0.0013354106387714222","0.0540841308702426","0.001112842198976185","0.0028933897173380814","0.0006677053193857111","0.0480747829957712","0.01647006454484754","0.8439795237035388","0.0017805475183618963","0.0006677053193857111","0"
"2021-01-23","2645","3","2650","51","18","43","5","1","191","2","21","1","166","39","2653","6","3","0","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","0.8396825396825397","0.0009523809523809524","0.8412698412698413","0.01619047619047619","0.005714285714285714","0.013650793650793651","0.0015873015873015873","0.00031746031746031746","0.06063492063492063","0.0006349206349206349","0.006666666666666667","0.00031746031746031746","0.052698412698412696","0.012380952380952381","0.8422222222222222","0.0019047619047619048","0.0009523809523809524","0"
"2021-01-24","2539","7","2542","67","13","23","5","0","186","4","11","2","172","65","2561","2","3","0","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","0.8044993662864385","0.002217997465145754","0.8054499366286438","0.021229404309252218","0.004119138149556401","0.007287705956907478","0.0015842839036755386","0","0.058935361216730035","0.0012674271229404308","0.003485424588086185","0.0006337135614702154","0.05449936628643853","0.020595690747782003","0.8114702154626109","0.0006337135614702154","0.0009505703422053232","0"
"2021-01-25","3647","12","3652","110","13","20","6","3","242","1","9","3","225","76","3681","1","2","0","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","0.8330287802649612","0.002740977615349475","0.8341708542713567","0.02512562814070352","0.0029693924166285975","0.0045682960255824575","0.0013704888076747374","0.0006852444038373687","0.05527638190954774","0.00022841480127912289","0.002055733211512106","0.0006852444038373687","0.05139333028780265","0.01735952489721334","0.8407948835084513","0.00022841480127912289","0.00045682960255824577","0"
"2021-01-26","3878","24","3878","96","18","23","6","4","287","7","15","2","265","68","3881","2","2","0","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","0.8558817038181417","0.0052968439638048995","0.8558817038181417","0.021187375855219598","0.003972632972853675","0.005076142131979695","0.0013242109909512249","0.0008828073273008167","0.06334142573383358","0.001544912822776429","0.003310527477378062","0.0004414036636504083","0.0584859854336791","0.015007724564113882","0.8565438093136173","0.0004414036636504083","0.0004414036636504083","0"
"2021-01-27","3820","6","3820","105","34","33","10","5","242","5","32","2","221","86","3820","0","6","0","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","0.854586129753915","0.0013422818791946308","0.854586129753915","0.02348993288590604","0.007606263982102908","0.00738255033557047","0.0022371364653243847","0.0011185682326621924","0.05413870246085011","0.0011185682326621924","0.0071588366890380315","0.00044742729306487697","0.049440715883668905","0.01923937360178971","0.854586129753915","0","0.0013422818791946308","0"
"2021-01-28","3856","9","3856","90","15","35","7","1","257","3","14","3","247","92","3859","0","0","0","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","0.848778340303764","0.001981069777679947","0.848778340303764","0.01981069777679947","0.003301782962799912","0.007704160246533128","0.0015408320493066256","0.00022011886418666079","0.056570548095971826","0.0006603565925599824","0.0030816640986132513","0.0006603565925599824","0.05436935945410522","0.020250935505172794","0.849438696896324","0","0","0"
"2021-01-29","3719","7","3719","110","9","24","15","8","244","4","8","3","227","84","3721","2","3","0","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","0.8752647681807484","0.0016474464579901153","0.8752647681807484","0.02588844433984467","0.002118145445987291","0.00564838785596611","0.0035302424099788185","0.0018827959519887032","0.05742527653565545","0.0009413979759943516","0.0018827959519887032","0.0007060484819957637","0.053424335137679455","0.019769357495881382","0.8757354671687456","0.0004706989879971758","0.0007060484819957637","0"
