date,nueva era-count,invento del gobierno-count,contienen microchips -count,puede magnetizar-count,alteran el adn-count,enferma de covid-count,causan infertilidad-count,mi fe me protege-count,nueva era-total_count,invento del gobierno-total_count,contienen microchips -total_count,puede magnetizar-total_count,alteran el adn-total_count,enferma de covid-total_count,causan infertilidad-total_count,mi fe me protege-total_count,nueva era-ratio,invento del gobierno-ratio,contienen microchips -ratio,puede magnetizar-ratio,alteran el adn-ratio,enferma de covid-ratio,causan infertilidad-ratio,mi fe me protege-ratio
"2021-03-03","1098","3658","14","798","3872","4181","14","738","4728","4728","4728","4728","4728","4728","4728","4728","0.23223350253807107","0.7736886632825719","0.002961082910321489","0.16878172588832488","0.8189509306260575","0.8843062605752962","0.002961082910321489","0.15609137055837563"
"2021-03-04","1102","3664","13","805","3955","4226","13","712","4881","4881","4881","4881","4881","4881","4881","4881","0.22577340708871133","0.7506658471624668","0.0026633886498668305","0.16492522024175374","0.8102847777094858","0.8658061872567097","0.0026633886498668305","0.1458717475927064"
"2021-03-05","973","3353","8","780","3619","3860","9","626","4385","4385","4385","4385","4385","4385","4385","4385","0.2218928164196123","0.7646522234891676","0.0018244013683010262","0.17787913340935005","0.8253135689851767","0.8802736602052451","0.0020524515393386543","0.1427594070695553"
"2021-03-06","598","2187","4","428","2415","2682","6","450","3074","3074","3074","3074","3074","3074","3074","3074","0.1945348080676643","0.7114508783344177","0.0013012361743656475","0.13923227065712426","0.7856213402732596","0.8724788549121666","0.001951854261548471","0.14638906961613532"
"2021-03-07","679","2222","11","415","2373","2605","10","454","3050","3050","3050","3050","3050","3050","3050","3050","0.22262295081967212","0.7285245901639344","0.0036065573770491803","0.1360655737704918","0.7780327868852459","0.8540983606557377","0.003278688524590164","0.14885245901639343"
"2021-03-08","1008","3410","9","707","3568","3859","11","727","4366","4366","4366","4366","4366","4366","4366","4366","0.23087494273934953","0.7810352725606963","0.002061383417315621","0.1619331195602382","0.8172240036646816","0.8838754008245534","0.0025194686211635364","0.16651397159871736"
"2021-03-09","1017","3497","14","816","3699","3996","9","717","4552","4552","4552","4552","4552","4552","4552","4552","0.2234182776801406","0.7682337434094904","0.0030755711775043936","0.17926186291739896","0.812609841827768","0.8778558875219684","0.001977152899824253","0.15751318101933215"
"2021-03-10","1045","3580","12","778","3787","4080","14","691","4645","4645","4645","4645","4645","4645","4645","4645","0.22497308934337998","0.7707212055974165","0.0025834230355220667","0.167491926803014","0.8152852529601722","0.8783638320775027","0.0030139935414424113","0.14876210979547902"
"2021-03-11","987","3523","8","815","3832","4088","13","675","4650","4650","4650","4650","4650","4650","4650","4650","0.21225806451612902","0.7576344086021506","0.0017204301075268817","0.17526881720430107","0.8240860215053764","0.8791397849462366","0.002795698924731183","0.14516129032258066"
"2021-03-12","1068","3443","16","755","3770","4084","6","708","4569","4569","4569","4569","4569","4569","4569","4569","0.23374917925147734","0.7535565769314948","0.0035018603633180127","0.16524403589406872","0.8251258481068068","0.8938498577369227","0.0013131976362442547","0.15495732107682206"
"2021-03-13","663","2200","7","450","2412","2648","8","476","3096","3096","3096","3096","3096","3096","3096","3096","0.21414728682170542","0.710594315245478","0.0022609819121447027","0.14534883720930233","0.7790697674418605","0.8552971576227391","0.002583979328165375","0.15374677002583978"
"2021-03-14","624","2241","9","451","2363","2550","11","490","2995","2995","2995","2995","2995","2995","2995","2995","0.20834724540901503","0.7482470784641069","0.003005008347245409","0.15058430717863105","0.7889816360601002","0.8514190317195326","0.003672787979966611","0.1636060100166945"
"2021-03-15","948","3471","12","779","3692","4001","8","688","4519","4519","4519","4519","4519","4519","4519","4519","0.2097809249834034","0.7680902854613852","0.0026554547466253594","0.17238327063509626","0.8169949103784023","0.8853728701040053","0.0017703031644169065","0.15224607213985394"
"2021-03-16","1083","3721","14","787","3970","4278","8","667","4780","4780","4780","4780","4780","4780","4780","4780","0.22656903765690375","0.7784518828451883","0.0029288702928870294","0.16464435146443515","0.8305439330543933","0.894979079497908","0.0016736401673640166","0.1395397489539749"
"2021-03-17","1070","3686","14","873","3918","4237","12","761","4696","4696","4696","4696","4696","4696","4696","4696","0.2278534923339012","0.784923339011925","0.002981260647359455","0.1859028960817717","0.8343270868824532","0.9022572402044293","0.002555366269165247","0.16205281090289608"
"2021-03-18","1058","3741","11","785","3988","4274","15","763","4728","4728","4728","4728","4728","4728","4728","4728","0.22377326565143824","0.791243654822335","0.002326565143824027","0.1660321489001692","0.8434856175972927","0.9039763113367174","0.0031725888324873096","0.16137901861252116"
"2021-03-19","917","3208","5","724","3433","3719","12","627","4126","4126","4126","4126","4126","4126","4126","4126","0.22224915172079496","0.7775084827920504","0.0012118274357731458","0.1754726126999515","0.8320407174018419","0.9013572467280659","0.00290838584585555","0.15196316044595248"
"2021-03-20","621","2336","5","463","2471","2695","4","470","3044","3044","3044","3044","3044","3044","3044","3044","0.2040078843626807","0.7674113009198423","0.0016425755584756898","0.15210249671484888","0.811760840998686","0.8853482260183968","0.001314060446780552","0.15440210249671485"
"2021-03-21","597","2200","7","425","2357","2594","13","480","3063","3063","3063","3063","3063","3063","3063","3063","0.19490695396669933","0.7182500816193275","0.002285341168788769","0.13875285667646098","0.7695070192621613","0.8468821416911525","0.004244205027750571","0.15670910871694418"
"2021-03-22","787","2718","7","533","2850","3140","10","502","3634","3634","3634","3634","3634","3634","3634","3634","0.21656576774903688","0.747936158503027","0.001926252063841497","0.14667033571821683","0.7842597688497523","0.8640616400660429","0.00275178866263071","0.13813979086406164"
"2021-03-23","945","3137","13","775","3299","3532","10","601","3933","3933","3933","3933","3933","3933","3933","3933","0.2402745995423341","0.7976099669463513","0.0033053648614289346","0.19705059750826343","0.8387998982964658","0.8980422069666921","0.0025425883549453345","0.15280956013221458"
"2021-03-24","1044","3725","9","833","3930","4187","16","667","4709","4709","4709","4709","4709","4709","4709","4709","0.22170312168188575","0.7910384370354641","0.0019112338076024634","0.17689530685920576","0.834572095986409","0.8891484391590572","0.0033977489912932683","0.14164366107453813"
"2021-03-25","1080","3746","14","840","3938","4247","4","720","4703","4703","4703","4703","4703","4703","4703","4703","0.22964065490112695","0.7965128641292791","0.002976823304273868","0.17860939825643207","0.8373378694450351","0.9030406123750797","0.0008505209440782479","0.15309376993408463"
"2021-03-26","767","2882","14","641","3050","3303","6","491","3724","3724","3724","3724","3724","3724","3724","3724","0.20596133190118152","0.7738990332975295","0.0037593984962406013","0.1721267454350161","0.8190118152524167","0.8869495166487648","0.001611170784103115","0.13184747583243825"
"2021-03-27","636","2360","2","531","2481","2717","7","517","3069","3069","3069","3069","3069","3069","3069","3069","0.2072336265884653","0.7689801238188335","0.0006516780710329097","0.17302052785923755","0.8084066471163245","0.8853046594982079","0.002280873248615184","0.16845878136200718"
"2021-03-28","632","2169","10","504","2335","2528","6","454","2964","2964","2964","2964","2964","2964","2964","2964","0.21322537112010798","0.7317813765182186","0.0033738191632928477","0.1700404858299595","0.7877867746288799","0.8529014844804319","0.0020242914979757085","0.15317139001349528"
"2021-03-29","961","3360","13","755","3599","3819","11","640","4339","4339","4339","4339","4339","4339","4339","4339","0.22147960359529845","0.7743719751094722","0.0029960820465545056","0.17400322654989628","0.8294537911961282","0.8801567181378198","0.002535146347084582","0.14749942383037568"
"2021-03-30","1014","3667","14","750","3825","4207","15","651","4573","4573","4573","4573","4573","4573","4573","4573","0.22173627815438443","0.8018806035425322","0.003061447627378089","0.16400612289525476","0.8364312267657993","0.9199650120271157","0.0032801224579050953","0.14235731467308113"
"2021-03-31","1005","3638","11","761","3827","4152","10","714","4659","4659","4659","4659","4659","4659","4659","4659","0.21571152607855762","0.780854260570938","0.002361021678471775","0.16333977248336554","0.8214209057737712","0.8911783644558918","0.0021463833440652502","0.15325177076625884"
"2021-04-01","857","2693","5","559","2832","3093","8","582","3568","3568","3568","3568","3568","3568","3568","3568","0.24019058295964127","0.7547645739910314","0.0014013452914798206","0.15667040358744394","0.7937219730941704","0.866872197309417","0.002242152466367713","0.16311659192825112"
"2021-04-02","630","2270","6","448","2501","2750","4","431","3206","3206","3206","3206","3206","3206","3206","3206","0.1965065502183406","0.7080474111041797","0.0018714909544603868","0.13973799126637554","0.7800998128509046","0.8577666874610106","0.0012476606363069245","0.1344354335620711"
"2021-04-03","615","2128","4","435","2323","2532","6","451","2980","2980","2980","2980","2980","2980","2980","2980","0.2063758389261745","0.7140939597315437","0.0013422818791946308","0.14597315436241612","0.7795302013422819","0.8496644295302014","0.0020134228187919465","0.15134228187919463"
"2021-04-04","533","1898","4","389","1997","2238","8","452","2656","2656","2656","2656","2656","2656","2656","2656","0.2006777108433735","0.7146084337349398","0.0015060240963855422","0.14646084337349397","0.7518825301204819","0.8426204819277109","0.0030120481927710845","0.17018072289156627"
"2021-04-05","791","2674","7","729","2957","3162","8","562","3681","3681","3681","3681","3681","3681","3681","3681","0.21488725889703886","0.7264330345014942","0.0019016571583808748","0.1980440097799511","0.8033143167617495","0.8590057049714751","0.0021733224667209996","0.15267590328715022"
"2021-04-06","1056","3586","8","752","3915","4096","5","716","4717","4717","4717","4717","4717","4717","4717","4717","0.22387110451558193","0.7602289590841637","0.0016959932160271359","0.15942336230655077","0.8299766800932796","0.8683485266058936","0.00105999576001696","0.15179139283442866"
"2021-04-07","1009","3868","9","847","4084","4453","7","678","4967","4967","4967","4967","4967","4967","4967","4967","0.20314072881014697","0.7787396819005435","0.0018119589289309443","0.17052546808938998","0.8222266961948862","0.896517012281055","0.0014093013891685123","0.13650090597946446"
"2021-04-08","296","1174","5","231","1183","1384","2","195","1662","1662","1662","1662","1662","1662","1662","1662","0.17809867629362214","0.7063778580024067","0.0030084235860409147","0.13898916967509026","0.7117930204572804","0.8327316486161251","0.0012033694344163659","0.11732851985559567"
"2021-04-09","20","45","1","26","48","48","0","14","53","53","53","53","53","53","53","53","0.37735849056603776","0.8490566037735849","0.018867924528301886","0.49056603773584906","0.9056603773584906","0.9056603773584906","0","0.2641509433962264"
"2021-04-10","19","41","1","20","44","48","0","15","49","49","49","49","49","49","49","49","0.3877551020408163","0.8367346938775511","0.02040816326530612","0.40816326530612246","0.8979591836734694","0.9795918367346939","0","0.30612244897959184"
"2021-04-11","49","119","0","62","124","133","2","31","136","136","136","136","136","136","136","136","0.3602941176470588","0.875","0","0.45588235294117646","0.9117647058823529","0.9779411764705882","0.014705882352941176","0.22794117647058823"
"2021-04-12","110","356","1","140","377","382","1","76","394","394","394","394","394","394","394","394","0.27918781725888325","0.9035532994923858","0.0025380710659898475","0.3553299492385787","0.9568527918781726","0.9695431472081218","0.0025380710659898475","0.19289340101522842"
"2021-04-13","521","1848","5","517","2006","2075","4","324","2196","2196","2196","2196","2196","2196","2196","2196","0.2372495446265938","0.8415300546448088","0.002276867030965392","0.2354280510018215","0.9134790528233151","0.9448998178506375","0.0018214936247723133","0.14754098360655737"
"2021-04-14","1164","4003","15","1044","4219","4498","12","729","5079","5079","5079","5079","5079","5079","5079","5079","0.22917897223862965","0.788147273085253","0.0029533372711163615","0.20555227406969875","0.8306753297893286","0.885607403032093","0.002362669816893089","0.14353219137625517"
"2021-04-15","1100","4055","13","887","4328","4594","23","745","5237","5237","5237","5237","5237","5237","5237","5237","0.21004391827382088","0.7742982623639488","0.0024823372159633377","0.16937177773534468","0.8264273438991789","0.877219782318121","0.004391827382088982","0.1422570173763605"
"2021-04-16","1033","3620","16","916","3902","4216","11","659","4742","4742","4742","4742","4742","4742","4742","4742","0.21784057359763812","0.7633909742724588","0.003374103753690426","0.19316743989877688","0.8228595529312527","0.8890763390974272","0.002319696330662168","0.1389708983551244"
