date,vacunas-count,efectos secundarios vacuna ...-count,trombos-count,trombosis-count,pfizer-count,moderna-count,astrazeneca-count,jhonson & jhonson janssen-count,sinovac-count,sinopharm-count,zydus-count,gamaleya-count,vacunas-total_count,efectos secundarios vacuna ...-total_count,trombos-total_count,trombosis-total_count,pfizer-total_count,moderna-total_count,astrazeneca-total_count,jhonson & jhonson janssen-total_count,sinovac-total_count,sinopharm-total_count,zydus-total_count,gamaleya-total_count,vacunas-ratio,efectos secundarios vacuna ...-ratio,trombos-ratio,trombosis-ratio,pfizer-ratio,moderna-ratio,astrazeneca-ratio,jhonson & jhonson janssen-ratio,sinovac-ratio,sinopharm-ratio,zydus-ratio,gamaleya-ratio
"2021-01-23","177","848","0","0","93","36","58","2","24","7","0","10","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","3150","0.05619047619047619","0.2692063492063492","0","0","0.029523809523809525","0.011428571428571429","0.018412698412698412","0.0006349206349206349","0.007619047619047619","0.0022222222222222222","0","0.0031746031746031746"
"2021-01-24","201","922","0","4","82","35","57","9","9","6","0","13","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","3156","0.06368821292775666","0.2921419518377693","0","0.0012674271229404308","0.025982256020278833","0.011089987325728771","0.01806083650190114","0.0028517110266159697","0.0028517110266159697","0.0019011406844106464","0","0.004119138149556401"
"2021-01-25","355","1392","0","0","109","85","93","9","27","11","0","3","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","4378","0.08108725445408863","0.31795340338053907","0","0","0.024897213339424396","0.019415258108725447","0.021242576518958427","0.002055733211512106","0.0061671996345363175","0.002512562814070352","0","0.0006852444038373687"
"2021-01-26","366","1640","0","5","137","95","97","14","27","26","0","9","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","4531","0.08077687044802472","0.3619510041933348","0","0.0011035091591260207","0.030236150960052968","0.020966674023394395","0.021408077687044804","0.003089825645552858","0.005958949459280512","0.0057382476274553075","0","0.0019863164864268373"
"2021-01-27","376","1458","0","3","156","65","112","16","22","20","0","13","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","4470","0.08411633109619687","0.3261744966442953","0","0.0006711409395973154","0.0348993288590604","0.0145413870246085","0.02505592841163311","0.0035794183445190158","0.004921700223713647","0.0044742729306487695","0","0.0029082774049217002"
"2021-01-28","410","1342","0","4","183","91","136","37","29","10","0","17","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","4543","0.09024873431653092","0.29539951573849876","0","0.0008804754567466431","0.04028175214615893","0.020030816640986132","0.02993616552938587","0.00814439797490645","0.006383447061413163","0.002201188641866608","0","0.0037420206911732336"
"2021-01-29","423","1319","0","0","198","150","199","31","64","32","0","13","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","4249","0.09955283596140269","0.31042598258413745","0","0","0.04659919981172041","0.035302424099788184","0.046834549305718995","0.007295834313956225","0.015062367615909626","0.007531183807954813","0","0.003059543421981643"
"2021-01-30","157","605","0","0","75","54","78","19","40","2","0","1","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","2213","0.07094441934026209","0.27338454586534117","0","0","0.03389064618165386","0.024401265250790782","0.03524627202892002","0.00858563036601898","0.01807501129688206","0.0009037505648441031","0","0.00045187528242205153"
"2021-01-31","31","96","0","0","9","12","10","4","8","0","0","0","318","318","318","318","318","318","318","318","318","318","318","318","0.09748427672955975","0.3018867924528302","0","0","0.02830188679245283","0.03773584905660377","0.031446540880503145","0.012578616352201259","0.025157232704402517","0","0","0"
"2021-02-01","201","713","0","0","49","38","53","12","27","5","0","5","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","2451","0.08200734394124846","0.2909016727866177","0","0","0.019991840065279477","0.015503875968992248","0.021623827009383926","0.004895960832313341","0.011015911872705019","0.002039983680130559","0","0.002039983680130559"
"2021-02-02","341","1289","0","3","124","76","110","8","35","22","0","42","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","4654","0.07327030511388054","0.2769660507090675","0","0.0006446067898581865","0.026643747314138374","0.01633003867640739","0.023635582294800173","0.0017189514396218307","0.007520412548345509","0.004727116458960034","0","0.009024495058014611"
"2021-02-03","392","1364","0","0","155","66","154","24","70","16","0","20","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","4845","0.08090815273477812","0.28152734778121774","0","0","0.03199174406604747","0.013622291021671827","0.031785345717234265","0.004953560371517028","0.014447884416924664","0.003302373581011352","0","0.0041279669762641896"
"2021-02-04","321","1190","0","0","104","54","99","17","45","18","0","9","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","4484","0.0715878679750223","0.26538804638715435","0","0","0.0231935771632471","0.012042818911685994","0.02207850133809099","0.003791257805530776","0.010035682426404995","0.004014272970561998","0","0.002007136485280999"
"2021-02-05","328","1219","1","2","144","74","95","14","49","12","0","7","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","4320","0.07592592592592592","0.28217592592592594","0.0002314814814814815","0.000462962962962963","0.03333333333333333","0.01712962962962963","0.02199074074074074","0.0032407407407407406","0.011342592592592593","0.002777777777777778","0","0.0016203703703703703"
